TIMESTAMP,STATION,PRESSUREAVG,TEMP2MAVG,TEMP10MAVG,RELHUM2MAVG,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,VWC5CM,VWC10CM,VWC20CM,VWC50CM,PRECIP2
2019-01-04T17:00:00Z,Lane,91.36,5.96,6.73,65.44,0.32,0,173.62,0.63,1.69,-0.33,-0.13,0.42,2.42,0.1092,0.15310000000000001,0.3911,0.4144,NA
2019-01-04T18:00:00Z,Lane,91.4,3.21,5.39,78.57,0.17,0,23.77,0.09,2.35,-0.28,-0.11,0.41,2.41,0.1099,0.1539,0.3911,0.4144,NA
2019-01-04T19:00:00Z,Lane,91.42,2.05,3.49,85.79,0.1,0,0,0,2.59,-0.25,-0.09,0.42,2.41,0.1106,0.1546,0.3911,0.4144,NA
2019-01-04T20:00:00Z,Lane,91.46,2.56,3.66,82.98,0.12,0,0,0,3.19,-0.23,-0.07,0.42,2.41,0.1113,0.1554,0.3911,0.4144,NA
2019-01-04T21:00:00Z,Lane,91.5,2.06,3.07,82.16,0.13,0,0,0,3.02,-0.2,-0.06,0.42,2.4,0.1119,0.1562,0.3906,0.4144,NA
2019-01-04T22:00:00Z,Lane,91.52,1.52,2.64,82.07,0.12,0,0,0,2.74,-0.19,-0.05,0.42,2.39,0.1125,0.157,0.3905,0.4144,NA
2019-01-04T23:00:00Z,Lane,91.5,0.71,2.43,82.6,0.11,0,0,0,2.27,-0.17,-0.04,0.42,2.39,0.1131,0.1577,0.3905,0.4144,NA
2019-01-05T00:00:00Z,Lane,91.49,0,1.73,83.95,0.1,0,0,0,1.88,-0.16,-0.03,0.42,2.38,0.1136,0.1583,0.3905,0.4144,NA
2019-01-05T01:00:00Z,Lane,91.47,-0.28,1.72,83.52,0.1,0,0,0,1.89,-0.15,-0.02,0.42,2.38,0.1142,0.159,0.3905,0.4139,NA
2019-01-05T02:00:00Z,Lane,91.49,-0.77,0.61,84.29,0.09,0,0,0,2.14,-0.14,-0.02,0.42,2.37,0.1147,0.1597,0.3905,0.4139,NA
2019-01-05T03:00:00Z,Lane,91.52,-0.92,0.03,79.81,0.12,0,0,0,2.47,-0.14,-0.01,0.42,2.36,0.1152,0.1605,0.3904,0.4139,NA
2019-01-05T04:00:00Z,Lane,91.51,-1.76,-0.23,80.52,0.1,0,0,0,1.81,-0.13,-0.01,0.42,2.36,0.1155,0.1612,0.3899,0.4139,NA
2019-01-05T05:00:00Z,Lane,91.47,-1.83,1.4,79.45,0.11,0,0,0,1.62,-0.12,0,0.43,2.35,0.1159,0.1619,0.3899,0.4139,NA
2019-01-05T06:00:00Z,Lane,91.44,-2.32,3.36,79.87,0.1,0,0,0,1.43,-0.12,-0,0.42,2.34,0.1161,0.1627,0.3899,0.4139,NA
2019-01-05T07:00:00Z,Lane,91.45,-3.04,-1.34,82.32,0.09,0,0.01,0,1.03,-0.12,0,0.42,2.34,0.1157,0.1634,0.3899,0.4139,NA
2019-01-05T08:00:00Z,Lane,91.46,-4.21,-2.89,86.21,0.06,0,1.62,0.01,0.3,-0.12,0,0.43,2.34,0.1151,0.164,0.3899,0.4139,NA
2019-01-05T09:00:00Z,Lane,91.48,-3.12,-1.25,84.17,0.08,0,79.77,0.29,1,-0.13,0.01,0.41,2.34,0.1138,0.1646,0.3899,0.4134,NA
2019-01-05T10:00:00Z,Lane,91.56,0.23,0.44,72.72,0.17,0,239.84,0.86,0.91,-0.15,0.01,0.42,2.33,0.1126,0.1652,0.3899,0.4133,NA
2019-01-05T11:00:00Z,Lane,91.6,2.31,2.01,71.5,0.21,0,389.09,1.4,1.62,-0.16,0.02,0.42,2.32,0.1123,0.1656,0.3899,0.4133,NA
2019-01-05T12:00:00Z,Lane,91.57,3.86,3.73,71.56,0.23,0,495.73,1.78,1.75,-0.16,0.01,0.43,2.32,0.1128,0.1658,0.3901,0.4133,NA
2019-01-05T13:00:00Z,Lane,91.52,5.52,5.49,68.54,0.29,0,547.81,1.97,1.45,-0.15,0.01,0.42,2.31,0.1133,0.1661,0.3903,0.4133,NA
2019-01-05T14:00:00Z,Lane,91.34,6.34,6.12,72.06,0.27,0,539.6,1.94,2.41,-0.14,0.02,0.43,2.31,0.1139,0.1665,0.3905,0.4133,NA
2019-01-05T15:00:00Z,Lane,91.31,7.27,7.16,70.18,0.31,0,468.93,1.69,2.2,-0.14,0.02,0.42,2.3,0.1145,0.1671,0.3905,0.4133,NA
2019-01-05T16:00:00Z,Lane,91.32,8.08,8.38,67.57,0.35,0,345.05,1.24,1.97,-0.13,0.02,0.43,2.3,0.1151,0.1675,0.3905,0.4134,NA
2019-01-05T17:00:00Z,Lane,91.34,6.56,8.29,71.26,0.28,0,137.93,0.5,2.06,-0.12,0.02,0.43,2.29,0.1157,0.1678,0.3905,0.413,NA
2019-01-05T18:00:00Z,Lane,91.33,4.15,7.06,79.14,0.17,0,25.67,0.09,1.78,-0.11,0.02,0.42,2.29,0.1162,0.1684,0.3905,0.4128,NA
2019-01-05T19:00:00Z,Lane,91.33,3.25,5.63,82.4,0.14,0,0,0,0.57,-0.1,0.02,0.43,2.29,0.1168,0.1688,0.3905,0.4128,NA
2019-01-05T20:00:00Z,Lane,91.35,2.19,5.03,85.54,0.1,0,0,0,0.8,-0.1,0.03,0.42,2.28,0.1174,0.1693,0.3905,0.4128,NA
2019-01-05T21:00:00Z,Lane,91.31,2.02,5.39,86.91,0.09,0,0,0,1.05,-0.09,0.03,0.42,2.28,0.1178,0.1699,0.3905,0.4128,NA
2019-01-05T22:00:00Z,Lane,91.25,2.21,5.22,85.79,0.1,0,0,0,1.04,-0.08,0.03,0.42,2.28,0.1183,0.1704,0.3905,0.4128,NA
2019-01-05T23:00:00Z,Lane,91.22,2.22,4.73,83.53,0.12,0,0,0,0.84,-0.08,0.03,0.42,2.27,0.1188,0.171,0.3905,0.4128,NA
2019-01-06T00:00:00Z,Lane,91.14,1.55,3.47,85.82,0.1,0,0,0,0.94,-0.08,0.04,0.42,2.27,0.1194,0.1717,0.3905,0.4128,NA
2019-01-06T01:00:00Z,Lane,91.08,1.64,3.27,85.18,0.1,0,0,0,0.97,-0.07,0.04,0.43,2.26,0.1197,0.1724,0.3905,0.4128,NA
2019-01-06T02:00:00Z,Lane,91.02,1.67,3.32,84.48,0.11,0,0,0,1.05,-0.08,0.04,0.42,2.27,0.1201,0.173,0.3905,0.4128,NA
2019-01-06T03:00:00Z,Lane,90.96,2.23,3.35,82.66,0.12,0,0,0,1.96,-0.07,0.04,0.43,2.26,0.1207,0.1737,0.3905,0.4123,NA
2019-01-06T04:00:00Z,Lane,90.86,1.98,2.84,84.65,0.11,0,0,0,1.08,-0.06,0.05,0.43,2.25,0.1211,0.1745,0.3905,0.4122,NA
2019-01-06T05:00:00Z,Lane,90.78,1.48,2.31,87.66,0.08,0,0,0,0.94,-0.07,0.05,0.43,2.25,0.1213,0.1751,0.3905,0.4122,NA
2019-01-06T06:00:00Z,Lane,90.66,1.16,1.82,90.02,0.07,0,0,0,0.94,-0.06,0.04,0.43,2.24,0.1219,0.1758,0.3905,0.4122,NA
